# Tomato32 ROM opcode table — one row per rom_addr (1024x64 microcode). Hardware authority; ISA personalities live under profiles/.
rom_addr,rom_region,mnemonic,group,encoding,semantic_op,ir_imm_sel,alu_op,alu_pre,cin_sel,shift_op,wb_sel,reg_we,bank_en,flags_we,mem_rd,mem_wr,byte_sel,mem_sel,branch_en,jump_type,sp_op,pc_src,pc_link_we,pc_cond,cycles,ctrl_bussel,mul_en,div_en,lut3_index,primitive_id,hardware_tier,notes,status
0x0d3,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d5,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d6,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d7,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d8,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0d9,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0da,,,,,,0,150,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0db,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0dc,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x0dd,,,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x108,,,,,,3,150,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x109,,,,,,3,105,7,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x112,,,,,,4,136,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x113,,,,,,4,238,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
0x114,,,,,,4,102,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
